#node	score1
APOH_MOUSE	-16.4885422536554
COX5A_MOUSE	-18.8600290218089
DHSD_MOUSE	-14.2035650578555
ODP2_MOUSE	-16.346805000612
MY18A_MOUSE	-16.7979702068622
DDX3X_MOUSE	-18.8997219533856
PPA5_MOUSE	-12.9317799217313
PLAK_MOUSE	-16.9727767606356
RAB5B_MOUSE	-12.0478473920761
RAC1_MOUSE	-9.22579457940665
PSA_MOUSE	-18.8333143483319
SND1_MOUSE	-19.0635243684808
PRS6A_MOUSE	-18.5221409290612
NDUA9_MOUSE	-16.4807772663419
MEP50_MOUSE	-17.9512551429713
COASY_MOUSE	-19.1242914080929
PDIP2_MOUSE	-19.1968732194125
CPNS1_MOUSE	-14.1886400679933
LEG9_MOUSE	-19.0398313147873
CD36_MOUSE	-17.885766495239
AT5F1_MOUSE	-16.4384092578516
IMB1_MOUSE	-17.543162027889
PA1B2_MOUSE	-16.6638549052652
PON1_MOUSE	-18.6542841116162
MGDP1_MOUSE	-15.6780687029047
TOM40_MOUSE	-11.9787915139841
KCRB_MOUSE	-16.5249338175566
XPO2_MOUSE	-19.1881227102932
RL13_MOUSE	-18.1366821545402
RS11_MOUSE	-18.1111843915685
GSTM5_MOUSE	-18.1693813641254
STAT3_MOUSE	-19.1277848876254
BAX_MOUSE	-11.2382707548753
CERU_MOUSE	-17.5323127061837
PTN6_MOUSE	-18.8962151532527
SMD1_MOUSE	-11.8654006557762
RAB8A_MOUSE	-15.9415908417821
TCPG_MOUSE	-19.1998484630702
ODB2_MOUSE	-18.5346018263527
AP2A2_MOUSE	-17.0953628894647
SNX9_MOUSE	-16.8666256484091
CALR_MOUSE	-18.4848352670269
SSRD_MOUSE	-17.4158397912779
PP1G_MOUSE	-18.0100896987641
GCDH_MOUSE	-15.3416221941728
PEX19_MOUSE	-17.7875911460269
KAPCB_MOUSE	-3.91709665509821
RUVB2_MOUSE	-18.9980210682936
NDRG2_MOUSE	-18.4653898942378
SORCN_MOUSE	-18.4768865940694
ITA3_MOUSE	-18.9998172960929
MCA3_MOUSE	-12.8660462500963
NDRG1_MOUSE	-11.2382226988528
HNRPD_MOUSE	-18.6821245891632
UFD1_MOUSE	-18.0040712941533
PHB2_MOUSE	-18.5614797980565
SAP_MOUSE	-16.3855215357994
APOE_MOUSE	-17.9299839624715
TIF1B_MOUSE	-18.5579724935641
CYTB_MOUSE	-16.1596997545739
YKT6_MOUSE	-18.3994121354107
ATPD_MOUSE	-19.0979234956655
BID_MOUSE	-19.1850133453941
NCPR_MOUSE	-18.9001970189224
CP51A_MOUSE	-4.07036734075085
MCM2_MOUSE	-16.5191499509624
DNJA3_MOUSE	-18.3203976107175
UBC12_MOUSE	-19.0891276640951
SYFA_MOUSE	-18.8954014204847
PROD_MOUSE	-18.8420931870781
APT_MOUSE	-11.8403971456761
SNAA_MOUSE	-18.972756011721
CDC42_MOUSE	-17.0452355622173
PRDX2_MOUSE	-18.8437517668017
APOA2_MOUSE	-16.1265904094938
OCTC_MOUSE	-17.5919694483548
ROA2_MOUSE	-18.1187224623504
RL8_MOUSE	-18.8581109858
AP1S1_MOUSE	-18.3812021376854
CTNB1_MOUSE	-18.4995981336502
ARPC2_MOUSE	-19.1468579765672
ROA0_MOUSE	-18.4854406216834
RLA1_MOUSE	-16.8217971707159
PSMD4_MOUSE	-18.5880736735196
RS9_MOUSE	-17.8462610863388
SYVC_MOUSE	-19.108491554606
2AAA_MOUSE	-18.3034542332329
MPRD_MOUSE	-17.5235221959814
THIOM_MOUSE	-18.7775418707471
CATD_MOUSE	-17.8626721214047
PGRC1_MOUSE	-14.7464991381715
KINH_MOUSE	-16.8491859166952
ODO2_MOUSE	-18.9301707702693
BIEA_MOUSE	-17.1397506969924
GOGA2_MOUSE	-8.31144071242459
DHDH_MOUSE	-18.1612115427919
VATB2_MOUSE	-16.6899431601097
4F2_MOUSE	-16.8491859166952
NDUS3_MOUSE	-18.8881227405816
DHSB_MOUSE	-18.4656658254538
ALDR_MOUSE	-18.6190110992355
SGTA_MOUSE	-16.7757538673221
PEA15_MOUSE	-13.495801972287
NDUA2_MOUSE	-17.5910643102909
PSB4_MOUSE	-19.0420337651395
ABHGA_MOUSE	-19.15202139968
NIT1_MOUSE	-18.9837575088628
ETFB_MOUSE	-15.4124340920593
TS101_MOUSE	-15.8982311577318
VAC14_MOUSE	-18.8770627250621
EWS_MOUSE	-17.8057628148537
CLPP_MOUSE	-18.2572632126814
SODM_MOUSE	-19.0724246730457
PSB1_MOUSE	-18.8953473648244
CISY_MOUSE	-19.0198222049367
GORS2_MOUSE	-18.8396668973325
LKHA4_MOUSE	-18.9187510029382
VA0D1_MOUSE	-15.2996847997518
PURA1_MOUSE	13.9801466856161
FUBP2_MOUSE	-18.6138818968695
TCPD_MOUSE	-18.6753339466959
CAZA2_MOUSE	-19.2026265786964
ARPC5_MOUSE	-15.2311861475334
RANG_MOUSE	-18.6964027071034
SQSTM_MOUSE	-15.8658148694898
SARDH_MOUSE	-18.8819002479036
RS15A_MOUSE	-18.1375040649604
PSMD3_MOUSE	-18.2841098762716
NUCG_MOUSE	-15.9559091559552
HSP7C_MOUSE	-18.8010919932764
SURF4_MOUSE	-15.5294269645412
VDAC3_MOUSE	-18.66551004835
CMC2_MOUSE	-18.8880448014683
LAMP2_MOUSE	-19.0554569441218
NDUS2_MOUSE	-18.8703302688421
VTNC_MOUSE	-16.9836166743642
CRK_MOUSE	-18.2001759350051
PSA2_MOUSE	-18.866969159881
UCHL5_MOUSE	-15.0723580779509
TBB5_MOUSE	-17.7176684968808
KFA_MOUSE	-13.1866056008338
1433B_MOUSE	-19.0558653254756
TNPO3_MOUSE	-18.9419695955814
SEPT7_MOUSE	-18.5346018263527
TIM50_MOUSE	-18.9146779491461
DHI1_MOUSE	-19.0313003385352
PROF1_MOUSE	-19.0774381241633
DYHC1_MOUSE	-18.4484342830532
ACADV_MOUSE	-19.0331883315253
G3BP1_MOUSE	-17.3444610143849
TIM44_MOUSE	-18.8528312653456
SYRC_MOUSE	-19.1263803329086
AL3A2_MOUSE	-10.4750158365524
TOM34_MOUSE	-19.0554569441218
ANXA6_MOUSE	-18.7479799150924
SYHC_MOUSE	-17.8867879350876
GDIA_MOUSE	-17.5816159486912
ALDOC_MOUSE	-12.8008436472475
VATE1_MOUSE	1.94679882303479
S14L2_MOUSE	-17.9501605871906
ATOX1_MOUSE	-18.8857790020928
PSD11_MOUSE	-19.1192825553465
ACTN1_MOUSE	-13.3997412312546
PPGB_MOUSE	-18.66551004835
RL15_MOUSE	-17.3775787649297
CSN3_MOUSE	-8.31343847229857
KLC4_MOUSE	-18.9648381648149
EMD_MOUSE	-19.1223039910485
GLU2B_MOUSE	-18.7919533804183
PEX1_MOUSE	-16.2537818494599
GNAI3_MOUSE	-19.1655054179829
TTL12_MOUSE	-18.9701096558805
RAVR1_MOUSE	-18.7369057938511
ADT2_MOUSE	-17.4055689412497
AP1B1_MOUSE	-18.6632035485984
DEST_MOUSE	-17.9164849225065
HM13_MOUSE	-15.9600389769478
VPP1_MOUSE	-16.9584624173238
MTNB_MOUSE	-19.212422018297
THIKB_MOUSE	-19.0979234956655
KPRA_MOUSE	-18.459980771854
IPO4_MOUSE	-19.1682441744897
DJB11_MOUSE	-4.15306507972783
TRAP1_MOUSE	-18.8476218613802
DHPR_MOUSE	-16.3426827448632
3HAO_MOUSE	-15.7629555833795
SRR_MOUSE	-11.8636395673716
PNPO_MOUSE	-18.5133304160798
PBLD2_MOUSE	-18.1780501775863
HEPS_MOUSE	-17.2588417007922
PH4H_MOUSE	-17.3664129955083
RHOA_MOUSE	-16.5603207616555
S22AI_MOUSE	-7.66401277417944
RS18_MOUSE	-18.9980210682936
FKBP8_MOUSE	-17.9011142420222
ENPL_MOUSE	-14.2602724299986
LSM2_MOUSE	-17.9847215708873
ACSL1_MOUSE	-18.5313983732642
PACN2_MOUSE	-18.394513326089
EIF3D_MOUSE	-18.7712188317862
HNRPL_MOUSE	-18.7847097670358
DDC_MOUSE	-19.0740124793711
PGAM1_MOUSE	-16.0744525832351
MDHM_MOUSE	-18.7637762171
EGFR_MOUSE	-17.6137722030433
NDUS7_MOUSE	-18.8737367520845
GAMT_MOUSE	-18.6075580037078
CYBP_MOUSE	-17.3962718345673
