p1	p2	diff	e_pvalue	meas	adj_e_pvalue
VAPB_MOUSE	ASNA_MOUSE	1.77534414753	0.001	5	0.274
NDUA5_MOUSE	DHSD_MOUSE	1.67658782955	0.002	5	0.274
IF4A2_MOUSE	RS30_MOUSE	1.62623952658	0.003	5	0.30825
GLPK_MOUSE	ALD2_MOUSE	1.59299163996	0.002	6	0.274
HPRT_MOUSE	APT_MOUSE	1.5551974885	0.006	6	0.365333333333
AKC1H_MOUSE	3BHS5_MOUSE	1.53897480749	0.008	5	0.365333333333
CP254_MOUSE	UD11_MOUSE	1.53491587529	0.004	6	0.3288
PLAK_MOUSE	ZO2_MOUSE	1.53126865521	0.007	6	0.365333333333
EIF3I_MOUSE	EIF3E_MOUSE	1.52473070903	0.008	6	0.365333333333
S61A1_MOUSE	EF2_MOUSE	1.47406374558	0.029	5	0.662166666667
BLVRB_MOUSE	UD11_MOUSE	1.46205163734	0.01	6	0.411
COX2_MOUSE	QCR10_MOUSE	1.42960094273	0.023	5	0.604411764706
AOFB_MOUSE	ADH1_MOUSE	1.42182227053	0.021	6	0.604411764706
FLNA_MOUSE	ITB1_MOUSE	1.39365799223	0.024	6	0.604411764706
CP4AA_MOUSE	UD11_MOUSE	1.38618561868	0.015	6	0.560454545455
ITB1_MOUSE	ICAM1_MOUSE	1.37043727982	0.025	6	0.604411764706
CX6A1_MOUSE	NDUA5_MOUSE	1.35887213952	0.038	5	0.7809
RL18_MOUSE	SPCS1_MOUSE	1.34994299486	0.04	5	0.782857142857
CP254_MOUSE	HYES_MOUSE	1.34953444664	0.024	6	0.604411764706
NLTP_MOUSE	ACOX1_MOUSE	1.32957644444	0.024	6	0.604411764706
SKP1_MOUSE	PSMD9_MOUSE	1.30865801049	0.032	6	0.692210526316
HNRH1_MOUSE	RBM8A_MOUSE	1.30726048732	0.043	5	0.803318181818
FLNA_MOUSE	CEAM1_MOUSE	1.24804827191	0.047	6	0.80556
ODP2_MOUSE	THIM_MOUSE	1.23994517615	0.049	6	0.80556
CPSM_MOUSE	DPYL2_MOUSE	1.21735107772	0.053	6	0.837807692308
SKP1_MOUSE	PSDE_MOUSE	1.2092405454	0.049	6	0.80556
CALM_MOUSE	STIM1_MOUSE	1.19352106929	0.082	5	0.914475
SSRA_MOUSE	SSRG_MOUSE	1.16978822035	0.066	6	0.9042
