#label	score
SAP_MOUSE	NaN
RUXG_MOUSE	NaN
ROA1_MOUSE	NaN
H10_MOUSE	NaN
TIM16_MOUSE	NaN
RYR1_MOUSE	NaN
HMCS1_MOUSE	NaN
PGK1_MOUSE	NaN
LMNB2_MOUSE	19.1408
ATP5L_MOUSE	NaN
NDUAC_MOUSE	NaN
RL12_MOUSE	NaN
BHMT1_MOUSE	NaN
RL7A_MOUSE	NaN
PSME1_MOUSE	NaN
MOCS1_MOUSE	NaN
HNRPQ_MOUSE	NaN
TCPD_MOUSE	NaN
ERAP1_MOUSE	NaN
RS2_MOUSE	NaN
IDI1_MOUSE	NaN
HNRPD_MOUSE	NaN
AAKG1_MOUSE	13.807
NTF2_MOUSE	NaN
RL14_MOUSE	NaN
SSRD_MOUSE	NaN
GSLG1_MOUSE	NaN
SELB_MOUSE	NaN
MUTA_MOUSE	NaN
NH2L1_MOUSE	NaN
TPIS_MOUSE	NaN
CUL3_MOUSE	12.2023
SYMC_MOUSE	NaN
F10A1_MOUSE	NaN
PSA2_MOUSE	NaN
GSTP1_MOUSE	NaN
TOM70_MOUSE	-0.2809
TCEA1_MOUSE	NaN
MYL6_MOUSE	NaN
DDX6_MOUSE	NaN
RS30_MOUSE	NaN
TAP1_MOUSE	43.8269
RUXE_MOUSE	NaN
IQGA1_MOUSE	NaN
G3BP2_MOUSE	NaN
PA1B2_MOUSE	NaN
AP2A1_MOUSE	NaN
IF4B_MOUSE	NaN
SEPT7_MOUSE	NaN
KGUA_MOUSE	NaN
IDH3A_MOUSE	NaN
MGLL_MOUSE	NaN
RAB1A_MOUSE	NaN
SAHH_MOUSE	NaN
IF4A1_MOUSE	NaN
NP1L1_MOUSE	-5.5661
SYIC_MOUSE	NaN
ARHGC_MOUSE	NaN
RS13_MOUSE	NaN
RS24_MOUSE	NaN
RL10_MOUSE	NaN
PDC10_MOUSE	NaN
RRF2M_MOUSE	NaN
BUD31_MOUSE	NaN
PSA3_MOUSE	NaN
ATPK_MOUSE	NaN
HGD_MOUSE	NaN
CUL2_MOUSE	NaN
CP240_MOUSE	NaN
SYWC_MOUSE	NaN
MANF_MOUSE	NaN
IF4G2_MOUSE	NaN
CYC_MOUSE	NaN
CYB5_MOUSE	NaN
SPCS1_MOUSE	NaN
UBP7_MOUSE	NaN
RDH11_MOUSE	NaN
ARLY_MOUSE	NaN
PSME2_MOUSE	NaN
UBP10_MOUSE	NaN
RL27A_MOUSE	NaN
HUTH_MOUSE	NaN
RAB9A_MOUSE	NaN
UBE2K_MOUSE	NaN
CMC1_MOUSE	NaN
NDUV2_MOUSE	NaN
SF01_MOUSE	NaN
FAF2_MOUSE	NaN
VPS29_MOUSE	NaN
ECHA_MOUSE	NaN
RS20_MOUSE	NaN
GGCT_MOUSE	34.0313
STAT3_MOUSE	-5.5291
HNRPM_MOUSE	NaN
PFD2_MOUSE	NaN
PHB_MOUSE	NaN
GLPK_MOUSE	NaN
MPC1_MOUSE	NaN
DPM1_MOUSE	NaN
ABI1_MOUSE	3.018
COPA_MOUSE	NaN
PPIA_MOUSE	0.8811
GPD1L_MOUSE	NaN
DERL2_MOUSE	NaN
NDKA_MOUSE	NaN
HOT_MOUSE	NaN
EF1B_MOUSE	NaN
RL13A_MOUSE	NaN
PTGR2_MOUSE	NaN
RM15_MOUSE	0.1588
COX7C_MOUSE	19.967
NDUB5_MOUSE	NaN
ARPC4_MOUSE	NaN
ACBP_MOUSE	NaN
I23O2_MOUSE	NaN
PDCD5_MOUSE	4.9333
CGL_MOUSE	NaN
RAB4A_MOUSE	NaN
G3P_MOUSE	10.5158
STT3A_MOUSE	NaN
MOES_MOUSE	NaN
GLO2_MOUSE	NaN
AT5F1_MOUSE	NaN
NDUBB_MOUSE	NaN
RM39_MOUSE	10.716
COF1_MOUSE	NaN
SNP23_MOUSE	NaN
RPN2_MOUSE	NaN
ARL1_MOUSE	NaN
STING_MOUSE	NaN
RANG_MOUSE	NaN
DIAP1_MOUSE	NaN
TRXR2_MOUSE	NaN
RAVR1_MOUSE	NaN
ELOC_MOUSE	NaN
LUC7L_MOUSE	NaN
ATPG_MOUSE	NaN
RS10_MOUSE	1.9453
EI2BD_MOUSE	NaN
GLSK_MOUSE	NaN
RS28_MOUSE	NaN
DCTN1_MOUSE	NaN
RL9_MOUSE	NaN
GFPT1_MOUSE	NaN
RL36A_MOUSE	-4.8677
PGAM5_MOUSE	NaN
CSN7A_MOUSE	NaN
LPPRC_MOUSE	NaN
PDC6I_MOUSE	NaN
NUP53_MOUSE	NaN
HNRPC_MOUSE	NaN
C560_MOUSE	NaN
RHG01_MOUSE	NaN
AP1S1_MOUSE	3.0029
TCTP_MOUSE	NaN
DLDH_MOUSE	NaN
SRP54_MOUSE	NaN
SCOT1_MOUSE	7.4192
DHSO_MOUSE	NaN
SRSF5_MOUSE	NaN
NDUAD_MOUSE	-1.88
CALM_MOUSE	NaN
DLRB1_MOUSE	NaN
RBM39_MOUSE	NaN
TOP1_MOUSE	NaN
TNPO1_MOUSE	NaN
EPN4_MOUSE	NaN
STAU1_MOUSE	NaN
SC24A_MOUSE	NaN
ATOX1_MOUSE	NaN
MYO1C_MOUSE	NaN
RS19_MOUSE	NaN
CERU_MOUSE	NaN
RS16_MOUSE	NaN
ANM1_MOUSE	NaN
TOM5_MOUSE	5.6028
LDHA_MOUSE	NaN
UBE3A_MOUSE	NaN
FAD1_MOUSE	NaN
ACLY_MOUSE	NaN
IDHP_MOUSE	NaN
RAB5C_MOUSE	NaN
PSMD4_MOUSE	NaN
PLAP_MOUSE	14.6534
CAZA1_MOUSE	NaN
GSTM6_MOUSE	9.6616
RS15A_MOUSE	NaN
PRDX1_MOUSE	NaN
KPRA_MOUSE	NaN
ST1A1_MOUSE	NaN
FUS_MOUSE	NaN
RINI_MOUSE	NaN
PAFA2_MOUSE	NaN
SRS10_MOUSE	27.1146
PGS2_MOUSE	NaN
RS12_MOUSE	NaN
1433T_MOUSE	NaN
ALDR_MOUSE	NaN
ACOC_MOUSE	NaN
AN32B_MOUSE	NaN
HXK4_MOUSE	NaN
SMC2_MOUSE	NaN
ECM29_MOUSE	NaN
SARDH_MOUSE	NaN
UGPA_MOUSE	NaN
MDHC_MOUSE	NaN
SET_MOUSE	NaN
