#node	score1
GNAI3_MOUSE	-7.3895
APOH_MOUSE	-6.4155
COX5A_MOUSE	-6.7091
ARP2_MOUSE	-7.2483
DHSD_MOUSE	-6.8027
COMT_MOUSE	-4.5277
ODB2_MOUSE	-6.6829
MCM7_MOUSE	-0.6001
RADI_MOUSE	-5.7413
SAP3_MOUSE	21.5692
3HAO_MOUSE	-4.8228
RAB5B_MOUSE	6.7268
RL13_MOUSE	-6.0731
PEDF_MOUSE	6.2812
DDX3X_MOUSE	-0.547
AOXA_MOUSE	-7.3227
PDIP2_MOUSE	-7.0355
FTCD_MOUSE	-6.6143
SYYC_MOUSE	-6.8701
SYHC_MOUSE	-6.9584
TCPG_MOUSE	-6.9998
SND1_MOUSE	-6.2305
IMB1_MOUSE	-3.812
PSA_MOUSE	-6.7046
RM10_MOUSE	-6.7781
CP51A_MOUSE	1.7522
TBB6_MOUSE	-6.3805
AFG31_MOUSE	-5.5725
ITA3_MOUSE	-5.563
PLAK_MOUSE	-6.4613
FXR1_MOUSE	-7.089
GSTT1_MOUSE	-6.4273
MCA3_MOUSE	-2.3964
COASY_MOUSE	-6.8512
PABP1_MOUSE	-7.4015
CPNS1_MOUSE	-6.754
CLPB_MOUSE	-2.5685
UBA1_MOUSE	-5.6923
EMD_MOUSE	-6.7533
BIEA_MOUSE	-6.0879
SF3A1_MOUSE	-6.2933
RHOC_MOUSE	6.0408
NDUAB_MOUSE	-7.324
SMD1_MOUSE	-4.2735
PON1_MOUSE	-0.9238
CLPP_MOUSE	-5.3267
XPO2_MOUSE	-6.7025
YKT6_MOUSE	-7.2149
PEX6_MOUSE	-0.9508
GNMT_MOUSE	-4.7118
TIM44_MOUSE	-6.5052
AP2A2_MOUSE	8.0558
APOE_MOUSE	-7.0329
APOC2_MOUSE	1.2781
CP2F2_MOUSE	3.2109
AP1M1_MOUSE	-2.6698
RAB8A_MOUSE	-7.1305
CP2CT_MOUSE	-6.2723
ATPD_MOUSE	-6.2627
PPP5_MOUSE	-6.8585
LIPS_MOUSE	-5.1566
GLU2B_MOUSE	-4.5277
RS11_MOUSE	-5.6274
